object_key,course_id,course_title,type,path,name,aliases,keywords,priority,enabled,notes,source_status
course-2:78cbf97b2c43ed0d,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/lab6/node_modules/methods,methods,,,0,TRUE,,active
course-2:bdedad739bd3ef08,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/lab6/node_modules/mime,mime,,,0,TRUE,,active
course-2:8f9ce267fa38d03d,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/lab6/node_modules/mime-db,mime-db,,,0,TRUE,,active
course-2:318fe28b9f8fb56f,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/lab6/node_modules/mime-types,mime-types,,,0,TRUE,,active
course-2:2b76063869f3fa7d,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/lab6/node_modules/ms,ms,,,0,TRUE,,active
course-2:95fa950bc67142cd,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/lab6/node_modules/negotiator,negotiator,,,0,TRUE,,active
course-2:37956cbe8b73b3ad,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/lab6/node_modules/object-assign,object-assign,,,0,TRUE,,active
course-2:ebea1fe1b8904c35,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/lab6/node_modules/object-inspect,object-inspect,,,0,TRUE,,active
course-2:1ca0699fb3640382,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/lab6/node_modules/on-finished,on-finished,,,0,TRUE,,active
course-2:b7b5fe73e9a91273,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/lab6/node_modules/parseurl,parseurl,,,0,TRUE,,active
course-2:bcbfdb8bd2a594f1,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/lab6/node_modules/path-to-regexp,path-to-regexp,,,0,TRUE,,active
course-2:ca9550d383334643,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/lab6/node_modules/proxy-addr,proxy-addr,,,0,TRUE,,active
course-2:571d7aed86662d5d,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/lab6/node_modules/qs,qs,,,0,TRUE,,active
course-2:0d9d7fe506cf4da3,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/lab6/node_modules/range-parser,range-parser,,,0,TRUE,,active
course-2:ae1408758622a1de,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/lab6/node_modules/raw-body,raw-body,,,0,TRUE,,active
course-2:04bfb42bb95b9747,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/lab6/node_modules/safe-buffer,safe-buffer,,,0,TRUE,,active
